指标,地区,时间,地区生产总值（亿元）
地区生产总值（亿元）,北京,2008,10488.03
地区生产总值（亿元）,北京,2009,12153.03
地区生产总值（亿元）,北京,2010,14113.58
地区生产总值（亿元）,北京,2011,16251.93
地区生产总值（亿元）,北京,2012,17879.4
地区生产总值（亿元）,北京,2013,19500.56
地区生产总值（亿元）,北京,2014,21330.83
地区生产总值（亿元）,北京,2015,23014.59
地区生产总值（亿元）,北京,2016,25669.13
地区生产总值（亿元）,北京,2017,28000.35
地区生产总值（亿元）,北京,2018,30319.98
地区生产总值（亿元）,天津,2008,6354.38
地区生产总值（亿元）,天津,2009,7521.85
地区生产总值（亿元）,天津,2010,9224.46
地区生产总值（亿元）,天津,2011,11307.28
地区生产总值（亿元）,天津,2012,12893.88
地区生产总值（亿元）,天津,2013,14370.16
地区生产总值（亿元）,天津,2014,15726.93
地区生产总值（亿元）,天津,2015,16538.19
地区生产总值（亿元）,天津,2016,17885.39
地区生产总值（亿元）,天津,2017,18595.38
地区生产总值（亿元）,天津,2018,18809.64
地区生产总值（亿元）,河北省,2008,16188.61
地区生产总值（亿元）,河北省,2009,17235.48
地区生产总值（亿元）,河北省,2010,20394.26
地区生产总值（亿元）,河北省,2011,24515.76
地区生产总值（亿元）,河北省,2012,26575.01
地区生产总值（亿元）,河北省,2013,28301.41
地区生产总值（亿元）,河北省,2014,29421.15
地区生产总值（亿元）,河北省,2015,29806.11
地区生产总值（亿元）,河北省,2016,32070.45
地区生产总值（亿元）,河北省,2017,35964
地区生产总值（亿元）,河北省,2018,36010.27
地区生产总值（亿元）,山西省,2008,6938.73
地区生产总值（亿元）,山西省,2009,7358.31
地区生产总值（亿元）,山西省,2010,9200.86
地区生产总值（亿元）,山西省,2011,11237.55
地区生产总值（亿元）,山西省,2012,12112.83
地区生产总值（亿元）,山西省,2013,12602.24
地区生产总值（亿元）,山西省,2014,12761.49
地区生产总值（亿元）,山西省,2015,12766.49
地区生产总值（亿元）,山西省,2016,13050.41
地区生产总值（亿元）,山西省,2017,14973.51
地区生产总值（亿元）,山西省,2018,16818.11
地区生产总值（亿元）,内蒙古自治区,2008,7761.8
地区生产总值（亿元）,内蒙古自治区,2009,9740.25
地区生产总值（亿元）,内蒙古自治区,2010,11672
地区生产总值（亿元）,内蒙古自治区,2011,14359.88
地区生产总值（亿元）,内蒙古自治区,2012,15880.58
地区生产总值（亿元）,内蒙古自治区,2013,16832.38
地区生产总值（亿元）,内蒙古自治区,2014,17770.19
地区生产总值（亿元）,内蒙古自治区,2015,17831.50878
地区生产总值（亿元）,内蒙古自治区,2016,18128.1
地区生产总值（亿元）,内蒙古自治区,2017,16103.17
地区生产总值（亿元）,内蒙古自治区,2018,17289.22
地区生产总值（亿元）,辽宁省,2008,13461.57
地区生产总值（亿元）,辽宁省,2009,15212.49
地区生产总值（亿元）,辽宁省,2010,18457.27
地区生产总值（亿元）,辽宁省,2011,22226.7
地区生产总值（亿元）,辽宁省,2012,24846.43
地区生产总值（亿元）,辽宁省,2013,27077.65
地区生产总值（亿元）,辽宁省,2014,28626.58
地区生产总值（亿元）,辽宁省,2015,28669.016
地区生产总值（亿元）,辽宁省,2016,22246.9
地区生产总值（亿元）,辽宁省,2017,23942
地区生产总值（亿元）,辽宁省,2018,25315.35
地区生产总值（亿元）,吉林省,2008,6424.06
地区生产总值（亿元）,吉林省,2009,7278.75
地区生产总值（亿元）,吉林省,2010,8667.58
地区生产总值（亿元）,吉林省,2011,10568.83
地区生产总值（亿元）,吉林省,2012,11939.24
地区生产总值（亿元）,吉林省,2013,12981.46
地区生产总值（亿元）,吉林省,2014,13803.14
地区生产总值（亿元）,吉林省,2015,14063.13
地区生产总值（亿元）,吉林省,2016,14776.8
地区生产总值（亿元）,吉林省,2017,15288.94
地区生产总值（亿元）,吉林省,2018,15074.62
地区生产总值（亿元）,黑龙江省,2008,8310
地区生产总值（亿元）,黑龙江省,2009,8587
地区生产总值（亿元）,黑龙江省,2010,10368.6
地区生产总值（亿元）,黑龙江省,2011,12582
地区生产总值（亿元）,黑龙江省,2012,13691.58
地区生产总值（亿元）,黑龙江省,2013,14382.93
地区生产总值（亿元）,黑龙江省,2014,15039.38
地区生产总值（亿元）,黑龙江省,2015,15083.67
地区生产总值（亿元）,黑龙江省,2016,15386.09
地区生产总值（亿元）,黑龙江省,2017,16199.88
地区生产总值（亿元）,黑龙江省,2018,16361.62
地区生产总值（亿元）,上海,2008,13698.15
地区生产总值（亿元）,上海,2009,15046.45
地区生产总值（亿元）,上海,2010,17165.98
地区生产总值（亿元）,上海,2011,19195.69
地区生产总值（亿元）,上海,2012,20181.72
地区生产总值（亿元）,上海,2013,21602.12
地区生产总值（亿元）,上海,2014,23567.7
地区生产总值（亿元）,上海,2015,25123.45
地区生产总值（亿元）,上海,2016,28178.65
地区生产总值（亿元）,上海,2017,30133.86
地区生产总值（亿元）,上海,2018,32679.87
地区生产总值（亿元）,江苏省,2008,30312.61
地区生产总值（亿元）,江苏省,2009,34457.3
地区生产总值（亿元）,江苏省,2010,41425.48
地区生产总值（亿元）,江苏省,2011,49110.27
地区生产总值（亿元）,江苏省,2012,54058.22
地区生产总值（亿元）,江苏省,2013,59161.75
地区生产总值（亿元）,江苏省,2014,65088.32
地区生产总值（亿元）,江苏省,2015,70116.38
地区生产总值（亿元）,江苏省,2016,77388.28
地区生产总值（亿元）,江苏省,2017,85900.94
地区生产总值（亿元）,江苏省,2018,92595.4
地区生产总值（亿元）,浙江省,2008,21486.92
地区生产总值（亿元）,浙江省,2009,22990.35
地区生产总值（亿元）,浙江省,2010,27722.31
地区生产总值（亿元）,浙江省,2011,32318.85
地区生产总值（亿元）,浙江省,2012,34665.33
地区生产总值（亿元）,浙江省,2013,37568.49
地区生产总值（亿元）,浙江省,2014,40173.03
地区生产总值（亿元）,浙江省,2015,42886.49
地区生产总值（亿元）,浙江省,2016,47251.36
地区生产总值（亿元）,浙江省,2017,51768.26
地区生产总值（亿元）,浙江省,2018,56197.15
地区生产总值（亿元）,安徽省,2008,8874.17
地区生产总值（亿元）,安徽省,2009,10062.82
地区生产总值（亿元）,安徽省,2010,12359.33
地区生产总值（亿元）,安徽省,2011,15300.65
地区生产总值（亿元）,安徽省,2012,17212.05
地区生产总值（亿元）,安徽省,2013,19038.87
地区生产总值（亿元）,安徽省,2014,20848.75
地区生产总值（亿元）,安徽省,2015,22005.63
地区生产总值（亿元）,安徽省,2016,24407.62
地区生产总值（亿元）,安徽省,2017,27518.67
地区生产总值（亿元）,安徽省,2018,30006.82
地区生产总值（亿元）,福建省,2008,10823.11
地区生产总值（亿元）,福建省,2009,12236.53
地区生产总值（亿元）,福建省,2010,14737.12
地区生产总值（亿元）,福建省,2011,17560.18
地区生产总值（亿元）,福建省,2012,19701.78
地区生产总值（亿元）,福建省,2013,21759.64
地区生产总值（亿元）,福建省,2014,24055.76
地区生产总值（亿元）,福建省,2015,25979.82
地区生产总值（亿元）,福建省,2016,28810.58
地区生产总值（亿元）,福建省,2017,32298.28
地区生产总值（亿元）,福建省,2018,35804.04
地区生产总值（亿元）,江西省,2008,6480.33
地区生产总值（亿元）,江西省,2009,7655.18
地区生产总值（亿元）,江西省,2010,9451.26
地区生产总值（亿元）,江西省,2011,11702.82
地区生产总值（亿元）,江西省,2012,12948.88
地区生产总值（亿元）,江西省,2013,14338.5
地区生产总值（亿元）,江西省,2014,15714.63
地区生产总值（亿元）,江西省,2015,16723.78
地区生产总值（亿元）,江西省,2016,18499
地区生产总值（亿元）,江西省,2017,20818.5
地区生产总值（亿元）,江西省,2018,21984.78
地区生产总值（亿元）,山东省,2008,31072.06
地区生产总值（亿元）,山东省,2009,33896.65
地区生产总值（亿元）,山东省,2010,39169.92
地区生产总值（亿元）,山东省,2011,45361.85
地区生产总值（亿元）,山东省,2012,50013.24
地区生产总值（亿元）,山东省,2013,54684.33
地区生产总值（亿元）,山东省,2014,59426.59
地区生产总值（亿元）,山东省,2015,63002.33245
地区生产总值（亿元）,山东省,2016,68024.49
地区生产总值（亿元）,山东省,2017,72678.18
地区生产总值（亿元）,山东省,2018,76469.67
地区生产总值（亿元）,河南省,2008,18407.78
地区生产总值（亿元）,河南省,2009,19480.46
地区生产总值（亿元）,河南省,2010,23092.36
地区生产总值（亿元）,河南省,2011,26931.03
地区生产总值（亿元）,河南省,2012,29599.31
地区生产总值（亿元）,河南省,2013,32155.86
地区生产总值（亿元）,河南省,2014,34938.24
地区生产总值（亿元）,河南省,2015,37002.16
地区生产总值（亿元）,河南省,2016,40471.79
地区生产总值（亿元）,河南省,2017,44988.16
地区生产总值（亿元）,河南省,2018,48055.86
地区生产总值（亿元）,湖北省,2008,11330.38
地区生产总值（亿元）,湖北省,2009,12961.1
地区生产总值（亿元）,湖北省,2010,15967.61
地区生产总值（亿元）,湖北省,2011,19632.26
地区生产总值（亿元）,湖北省,2012,22250.45
地区生产总值（亿元）,湖北省,2013,24668.49
地区生产总值（亿元）,湖北省,2014,27379.22
地区生产总值（亿元）,湖北省,2015,29550.18814
地区生产总值（亿元）,湖北省,2016,32665.38
地区生产总值（亿元）,湖北省,2017,36522.95
地区生产总值（亿元）,湖北省,2018,39366.55
