地区,时间,能源消费量（万吨标煤）
北京,2008,6327.12895
北京,2009,6570.34224
北京,2010,6954.04988
北京,2011,6995.39789
北京,2012,7177.68194
北京,2013,6724
北京,2014,6831
北京,2015,6803
北京,2016,6917
北京,2017,7088
北京,2018,7270
天津,2008,5363.59177
天津,2009,5874.0856
天津,2010,6818.08
天津,2011,7598.45
天津,2012,8208.00831
天津,2013,7882
天津,2014,8145
天津,2015,8319
天津,2016,8078
天津,2017,7832
天津,2018,7973
河北,2008,24321.8687
河北,2009,25418.78668
河北,2010,27531.11
河北,2011,29498.29121
河北,2012,30250.21368
河北,2013,29664
河北,2014,29320
河北,2015,31037
河北,2016,31458
河北,2017,32083
河北,2018,32185
山西,2008,15675.42099
山西,2009,15575.76863
山西,2010,16808.03
山西,2011,18315.11943
山西,2012,19335.58837
山西,2013,19761
山西,2014,19863
山西,2015,19029
山西,2016,18974
山西,2017,19581
山西,2018,20199
内蒙古,2008,14100.32079
内蒙古,2009,15343.54932
内蒙古,2010,16820.30406
内蒙古,2011,18736.90842
内蒙古,2012,19785.70785
内蒙古,2013,17681
内蒙古,2014,18309
内蒙古,2015,18784
内蒙古,2016,19310
内蒙古,2017,19763
内蒙古,2018,23068
辽宁,2008,17801.25963
辽宁,2009,19111.90298
辽宁,2010,20946.51763
辽宁,2011,22712.2034
辽宁,2012,23526.40476
辽宁,2013,21721
辽宁,2014,21803
辽宁,2015,21362
辽宁,2016,20847
辽宁,2017,21365
辽宁,2018,22321
吉林,2008,7221.35511
吉林,2009,7697.77162
吉林,2010,8297.31269
吉林,2011,9103.0417
吉林,2012,9443.03839
吉林,2013,8645
吉林,2014,8560
吉林,2015,7020
吉林,2016,6886
吉林,2017,6881
吉林,2018,7000
黑龙江,2008,9979.39065
黑龙江,2009,10466.70083
黑龙江,2010,11233.50507
黑龙江,2011,12118.50188
黑龙江,2012,12757.80006
黑龙江,2013,11853
黑龙江,2014,11955
黑龙江,2015,11104
黑龙江,2016,11070
黑龙江,2017,11258
黑龙江,2018,11436
上海,2008,10207.3583
上海,2009,10367.37754
上海,2010,11201.12949
上海,2011,11270.48277
上海,2012,11362.15239
上海,2013,11346
上海,2014,11085
上海,2015,10931
上海,2016,11242
上海,2017,11382
上海,2018,11454
江苏,2008,22232.23376
江苏,2009,23709.27729
江苏,2010,25773.7057
江苏,2011,27588.97428
江苏,2012,28849.84145
江苏,2013,29205
江苏,2014,29863
江苏,2015,30374
江苏,2016,31210
江苏,2017,31602
江苏,2018,31635
浙江,2008,15106.88414
浙江,2009,15566.89495
浙江,2010,16865.29302
浙江,2011,17827.26692
浙江,2012,18076.1831
浙江,2013,18640
浙江,2014,18826
浙江,2015,19610
浙江,2016,20276
浙江,2017,21030
浙江,2018,21675
安徽,2008,8325.42773
安徽,2009,8895.90125
安徽,2010,9706.6006
安徽,2011,10570.2333
安徽,2012,11357.94809
安徽,2013,11696
安徽,2014,12011
安徽,2015,12301
安徽,2016,12663
安徽,2017,13019
安徽,2018,13295
福建,2008,8254.03551
福建,2009,8916.45818
福建,2010,9808.52057
福建,2011,10652.59614
福建,2012,11185.44106
福建,2013,11190
福建,2014,12110
福建,2015,11863
福建,2016,12036
福建,2017,12555
福建,2018,13131
江西,2008,5382.96443
江西,2009,5812.54144
江西,2010,6354.88256
江西,2011,6928.17391
江西,2012,7232.91991
江西,2013,7583
江西,2014,8055
江西,2015,8423
江西,2016,8730
江西,2017,8972
江西,2018,9286
山东,2008,30569.94947
山东,2009,32420.23594
山东,2010,34807.77313
山东,2011,37131.99817
山东,2012,38899.24912
山东,2013,35358
山东,2014,36511
山东,2015,39332
山东,2016,40138
山东,2017,40098
山东,2018,40581
河南,2008,18976.27326
河南,2009,19751.23757
河南,2010,21437.75776
河南,2011,23061.88355
河南,2012,23647.1137
河南,2013,21909
河南,2014,22890
河南,2015,22343
河南,2016,22323
